Timestamp,AF3 Value,AF3 Quality,AF4 Value,AF4 Quality,F3 Value,F3 Quality,F4 Value,F4 Quality,F7 Value,F7 Quality,F8 Value,F8 Quality
2016-12-18 18:12:11.474000,-6206,9243,1643,6760,4690,1625,-5595,11089,-2643,8786,6761,11546
2016-12-18 18:12:11.475000,-2663,9243,2959,6760,-77,1625,1851,11089,-351,8786,-996,11546
2016-12-18 18:12:11.481000,-5671,9243,-1221,6760,6874,1625,-444,11089,6364,8786,2667,11546
2016-12-18 18:12:11.490000,4182,9243,-5958,6760,-1687,1625,-5859,11089,1317,8786,1930,11546
2016-12-18 18:12:11.494000,2241,9243,-559,6760,1506,1625,1989,11089,6635,8786,3303,11546
2016-12-18 18:12:11.498000,3558,9243,971,6760,2707,1625,-3603,11089,6130,8786,-2708,11546
2016-12-18 18:12:11.505000,-4220,9243,2596,6760,-2222,1625,6311,11089,7205,8786,-7239,11546
2016-12-18 18:12:11.507000,1094,9243,-6215,6760,4315,1625,-7103,11089,2093,8786,8088,11546
2016-12-18 18:12:11.513000,-4814,9243,-3838,6760,704,1625,5008,11089,-3294,8786,4948,11546
2016-12-18 18:12:11.522000,4725,9243,7386,6760,5172,1625,8032,11089,1340,8786,-803,11546
2016-12-18 18:12:11.523000,7407,9243,-673,6760,-4398,1625,938,11089,-5318,8786,-8190,11546
2016-12-18 18:12:11.530000,1170,9243,6660,6760,3975,1625,4938,11089,7876,8786,545,11546
2016-12-18 18:12:11.537000,7231,9243,-5040,6760,-7783,1625,-3224,11089,-797,8786,-7279,11546
2016-12-18 18:12:11.538000,1264,9243,-7908,6760,6996,1625,211,11089,6664,8786,-3644,11546
2016-12-18 18:12:11.545000,1492,9243,4402,6760,4454,1625,3994,11089,1310,8786,-5573,11546
2016-12-18 18:12:11.553000,-6576,9243,-2513,6760,77,1625,1203,11089,6001,8786,-5012,11546
2016-12-18 18:12:11.554000,4258,9243,-1255,6760,-7998,1625,6817,11089,-7911,8786,7936,11546
2016-12-18 18:12:11.562000,-1504,9243,-7104,6760,5051,1625,6776,11089,2991,8786,-7056,11546
2016-12-18 18:12:11.572000,-3873,9243,-3418,6760,-5973,1625,-6422,11089,-1301,8786,-537,11546
2016-12-18 18:12:11.573000,368,9243,-2743,6760,-3351,1625,6157,11089,-5903,8786,2491,11546
2016-12-18 18:12:11.578000,6398,9243,-381,6760,-2715,1625,2365,11089,-1759,8786,4991,11546
2016-12-18 18:12:11.586000,-2341,9243,-4606,6760,-1194,1625,3668,11089,-138,8786,5958,11546
2016-12-18 18:12:11.587000,7237,9243,-436,6760,4390,1625,5527,11089,-6284,8786,-896,11546
2016-12-18 18:12:11.594000,-6191,9243,436,6760,5906,1625,-2729,11089,6659,8786,-2920,11546
2016-12-18 18:12:11.600000,6873,9243,-6668,6760,5569,1625,-4201,11089,4341,8786,3007,11546
2016-12-18 18:12:11.601000,-7839,9243,-4780,6760,781,1625,-4558,11089,-1438,8786,-2941,11546
2016-12-18 18:12:11.607000,-7039,9243,-6733,6760,2875,1625,5642,11089,4068,8786,-3916,11546
2016-12-18 18:12:11.616000,-5951,9243,7534,6760,-3579,1625,5767,11089,-2413,8786,6646,11546
2016-12-18 18:12:11.618000,708,9243,4797,6760,-1802,1625,-6568,11089,-8069,8786,-4493,11546
2016-12-18 18:12:11.625000,2169,9243,5503,6760,-7578,1625,-2234,11089,7814,8786,-5754,11546
2016-12-18 18:12:11.631000,1393,9243,-4985,6760,-5478,1625,-6904,11089,1517,8786,5850,11546
2016-12-18 18:12:11.633000,-4667,9243,5655,6760,4702,1625,924,11089,5587,8786,-31,11546
2016-12-18 18:12:11.638000,5730,9243,-4337,6760,7779,1625,5726,11089,-1319,8786,-7280,11546
2016-12-18 18:12:11.648000,-14,9243,4176,6760,-2790,1625,-386,11089,2232,8786,5801,11546
